Joint Tag,Target Number,TimeStamp,Elapsed Time,Motion Detected,Motion Threshold,Position X,Position Y,Position Z,Rotation X,Rotation y,Rotation z,Speed,Velocity X,Velocity Y,Velocity Z,Velocity X (orig),Velocity Y (orig),Velocity Z (orig),Acceleration X,Acceleration Y,Acceleration Z,Acceleration Strength,Direction X,Direction Y,Direction Z,Angular Speed,Angular Velocity X,Angular Velocity Y,Angular Velocity Z,Angular Acceleration X,Angular Acceleration Y,Angular Acceleration Z,Angular Acceleration Strength,Angular Axis X,Angular Axis Y,Angular Axis Z
RightWrist,,00:00:00:700,0.70,False,0.08,-1.564788,0.7249787,-1.029338,59.7506,-82.55042,-57.7272,0.03204186,-0.02758878,-0.01611545,0.002415139,-0.08485128,-0.02148293,0.008968704,-0.1055842,-0.06167495,0.009242904,0.1226265,-0.8610228,-0.5029498,0.07537448,0,0,0,0,0,0,0,0,-0.6372213,-0.1797746,-0.7494198
RightWrist,,00:00:00:717,0.72,False,0.08,-1.564805,0.7249935,-1.029377,59.77701,-82.52356,-57.69321,0.02484458,-0.02139175,-0.01249558,0.001872647,-0.005728513,0.0002121671,-0.003882659,-0.06082164,-0.03552778,0.005324364,0.07063882,-0.8610228,-0.5029498,0.07537448,0,0,0,0,0,0,0,0,-0.6372213,-0.1797746,-0.7494198
RightWrist,,00:00:00:733,0.73,False,0.08,-1.564977,0.724781,-1.029347,59.76583,-82.54181,-57.7027,0.02463208,-0.02120878,-0.0123887,0.00185663,-0.01502298,-0.01851379,0.002618112,-0.04269434,-0.02493907,0.003737489,0.04958561,-0.8610228,-0.5029498,0.07537448,0,0,0,0,0,0,0,0,-0.6372213,-0.1797746,-0.7494198
RightWrist,,00:00:00:750,0.75,False,0.08,-1.564942,0.7248681,-1.029303,59.75504,-82.55032,-57.70972,0.02281811,-0.01964692,-0.01147637,0.001719903,-0.0007340969,0.005369969,0.004052617,0.01562961,0.009129731,-0.001368225,-0.01815237,-0.8610228,-0.5029498,0.07537448,0,0,0,0,0,0,0,0,-0.6372213,-0.1797746,-0.7494198
RightWrist,,00:00:00:767,0.77,False,0.08,-1.564907,0.7248843,-1.029302,59.75648,-82.52649,-57.6839,0.02021366,-0.01740442,-0.01016646,0.001523594,0.003085668,0.001394189,6.150833E-05,0.05005957,0.02924133,-0.004382246,-0.05813965,-0.8610228,-0.5029498,0.07537448,0,0,0,0,0,0,0,0,-0.6372213,-0.1797746,-0.7494198
RightWrist,,00:00:00:783,0.78,False,0.08,-1.565127,0.7244625,-1.029269,59.75974,-82.51199,-57.67831,0.02328334,-0.02004749,-0.01171035,0.00175497,-0.02036899,-0.03899648,0.003064166,0.04367877,0.02551411,-0.003823667,-0.05072893,-0.8610228,-0.5029498,0.07537448,0,0,0,0,0,0,0,0,-0.6372213,-0.1797746,-0.7494198
RightWrist,,00:00:00:800,0.80,False,0.08,-1.56543,0.7243397,-1.029288,59.75388,-82.50607,-57.6756,0.02152076,-0.01842609,-0.01100347,0.001595584,-0.02960736,-0.01132644,-0.001758954,0.05677603,0.03390483,-0.004916447,-0.06631158,-0.8562008,-0.5112957,0.07414161,0,0,0,0,0,0,0,0,-0.6372213,-0.1797746,-0.7494198
RightWrist,,00:00:00:817,0.82,False,0.08,-1.565398,0.7243564,-1.029309,59.74059,-82.521,-57.6908,0.01675061,-0.01434188,-0.008564514,0.001241917,0.002797395,0.001445149,-0.001785791,0.07205689,0.04303007,-0.006239674,-0.08415887,-0.8562008,-0.5112957,0.07414161,0,0,0,0,0,0,0,0,-0.6372213,-0.1797746,-0.7494198
RightWrist,,00:00:00:833,0.83,False,0.08,-1.566224,0.7241561,-1.029223,59.76401,-82.51602,-57.69119,0.02989782,-0.02575945,-0.0150089,0.0022501,0.03458418,0.01139753,-0.005111369,-0.04619287,-0.02691455,0.004034967,0.05361395,-0.8615831,-0.5020066,0.07525966,0,0,0,0,0,0,0,0,-0.6372213,-0.1797746,-0.7494198
RightWrist,,00:00:00:850,0.85,False,0.08,-1.566195,0.7241817,-1.029219,59.76589,-82.51239,-57.68448,0.02582457,-0.02225001,-0.0129641,0.001943548,0.002619131,0.00230656,0.0004095761,-0.02841001,-0.01655326,0.002481627,0.0329742,-0.8615831,-0.5020066,0.07525966,0,0,0,0,0,0,0,0,-0.6372213,-0.1797746,-0.7494198
